min,max,repetitions,result
-900,100,310,80.0
-900,100,360,88.61
-900,100,410,86.34
-900,100,460,87.61
-900,100,510,85.49
-900,100,560,86.79
-900,100,610,86.72
-900,100,660,86.06
-900,100,710,85.07
-900,100,760,84.47
-900,100,810,84.44
-900,100,860,83.6
-900,100,910,86.15
-900,100,960,85.73
-900,200,10,100.0
-900,200,60,90.0
-900,200,110,90.91
-900,200,160,85.62
-900,200,210,88.1
-900,200,260,83.85
-900,200,310,87.74
-900,200,360,88.89
-900,200,410,85.61
-900,200,460,90.0
-900,200,510,88.82
-900,200,560,86.43
-900,200,610,86.07
-900,200,660,84.55
-900,200,710,88.03
-900,200,760,90.13
-900,200,810,87.53
-900,200,860,88.37
-900,200,910,88.9
-900,200,960,88.65
-900,300,10,80.0
-900,300,60,93.33
-900,300,110,89.09
-900,300,160,88.75
-900,300,210,86.19
-900,300,260,89.62
-900,300,310,90.97
-900,300,360,88.33
-900,300,410,89.27
-900,300,460,89.57
-900,300,510,90.59
-900,300,560,89.46
-900,300,610,90.82
-900,300,660,89.55
-900,300,710,88.17
-900,300,760,89.21
-900,300,810,88.52
-900,300,860,88.72
-900,300,910,89.12
-900,300,960,88.85
-900,400,10,90.0
-900,400,60,88.33
-900,400,110,86.36
-900,400,160,89.38
-900,400,210,90.48
-900,400,260,90.38
-900,400,310,87.74
-900,400,360,87.22
-900,400,410,90.98
-900,400,460,89.78
-900,400,510,90.2
-900,400,560,86.61
-900,400,610,90.98
-900,400,660,90.0
-900,400,710,89.72
-900,400,760,91.18
-900,400,810,89.14
-900,400,860,90.0
-900,400,910,90.11
-900,400,960,90.42
-900,500,10,80.0
-900,500,60,86.67
-900,500,110,84.55
-900,500,160,90.0
-900,500,210,92.86
-900,500,260,93.08
-900,500,310,92.58
-900,500,360,86.94
-900,500,410,88.78
-900,500,460,90.43
-900,500,510,91.57
-900,500,560,92.14
-900,500,610,90.82
-900,500,660,88.94
-900,500,710,90.42
-900,500,760,87.5
-900,500,810,89.26
-900,500,860,91.51
-900,500,910,90.88
-900,500,960,91.25
-900,600,10,90.0
-900,600,60,90.0
-900,600,110,85.45
-900,600,160,90.0
-900,600,210,91.9
-900,600,260,90.38
-900,600,310,91.61
-900,600,360,92.5
-900,600,410,90.49
-900,600,460,91.3
-900,600,510,92.35
-900,600,560,91.43
-900,600,610,92.13
-900,600,660,92.12
-900,600,710,91.27
-900,600,760,91.71
-900,600,810,90.37
-900,600,860,92.21
-900,600,910,90.11
-900,600,960,92.08
-900,700,10,70.0
-900,700,60,93.33
-900,700,110,92.73
-900,700,160,88.12
-900,700,210,90.0
-900,700,260,88.85
-900,700,310,91.61
-900,700,360,94.17
-900,700,410,91.22
-900,700,460,92.39
-900,700,510,93.33
-900,700,560,93.21
-900,700,610,92.62
-900,700,660,92.58
-900,700,710,92.11
-900,700,760,92.5
-900,700,810,92.1
-900,700,860,92.56
-900,700,910,93.3
-900,700,960,92.4
-900,800,10,90.0
-900,800,60,95.0
-900,800,110,89.09
-900,800,160,93.12
-900,800,210,94.76
-900,800,260,93.46
-900,800,310,91.29
-900,800,360,88.89
-900,800,410,92.2
-900,800,460,93.48
-900,800,510,93.14
-900,800,560,91.43
-900,800,610,91.97
-900,800,660,93.64
-900,800,710,92.25
-900,800,760,93.29
-900,800,810,91.48
-900,800,860,93.6
-900,800,910,91.98
-900,800,960,92.6
-900,900,10,90.0
-900,900,60,93.33
-900,900,110,93.64
-900,900,160,91.88
-900,900,210,92.38
-900,900,260,91.54
-900,900,310,93.87
-900,900,360,92.22
-900,900,410,94.39
-900,900,460,91.96
-900,900,510,92.94
-900,900,560,93.04
-900,900,610,94.43
-900,900,660,92.27
-900,900,710,93.8
-900,900,760,92.24
-900,900,810,92.59
-900,900,860,95.12
-900,900,910,93.41
-900,900,960,93.54
-800,-1000,10,70.0
-800,-1000,60,85.0
-800,-1000,110,81.82
-800,-1000,160,84.38
-800,-1000,210,79.05
-800,-1000,260,78.85
-800,-1000,310,75.81
-800,-1000,360,82.5
-800,-1000,410,80.0
-800,-1000,460,85.65
-800,-1000,510,82.94
-800,-1000,560,80.71
-800,-1000,610,82.62
-800,-1000,660,82.73
-800,-1000,710,80.0
-800,-1000,760,81.58
-800,-1000,810,78.4
-800,-1000,860,81.16
-800,-1000,910,81.76
-800,-1000,960,82.6
-800,-900,10,80.0
-800,-900,60,81.67
-800,-900,110,84.55
-800,-900,160,75.62
-800,-900,210,83.33
-800,-900,260,78.46
-800,-900,310,78.06
-800,-900,360,83.33
-800,-900,410,81.95
-800,-900,460,81.3
-800,-900,510,78.24
-800,-900,560,80.54
-800,-900,610,80.66
-800,-900,660,81.06
-800,-900,710,80.56
-800,-900,760,78.29
-800,-900,810,80.86
-800,-900,860,81.4
-800,-900,910,82.75
-800,-900,960,79.58
-800,-800,10,100.0
-800,-800,60,100.0
-800,-800,110,100.0
-800,-800,160,100.0
-800,-800,210,100.0
-800,-800,260,100.0
-800,-800,310,100.0
-800,-800,360,100.0
-800,-800,410,100.0
-800,-800,460,100.0
-800,-800,510,100.0
-800,-800,560,100.0
-800,-800,610,100.0
-800,-800,660,100.0
-800,-800,710,100.0
-800,-800,760,100.0
-800,-800,810,100.0
-800,-800,860,100.0
-800,-800,910,100.0
-800,-800,960,100.0
-800,-700,10,80.0
-800,-700,60,88.33
-800,-700,110,87.27
-800,-700,160,78.12
-800,-700,210,76.67
-800,-700,260,81.54
-800,-700,310,83.23
-800,-700,360,83.06
-800,-700,410,83.17
-800,-700,460,82.39
-800,-700,510,83.53
-800,-700,560,83.57
-800,-700,610,82.62
-800,-700,660,82.58
-800,-700,710,81.13
-800,-700,760,80.66
-800,-700,810,84.2
-800,-700,860,80.23
-800,-700,910,82.2
-800,-700,960,83.44
-800,-600,10,70.0
-800,-600,60,71.67
-800,-600,110,82.73
-800,-600,160,80.0
-800,-600,210,73.81
-800,-600,260,72.31
-800,-600,310,74.84
-800,-600,360,78.61
-800,-600,410,79.27
-800,-600,460,76.52
-800,-600,510,80.2
-800,-600,560,75.54
-800,-600,610,78.03
-800,-600,660,79.55
-800,-600,710,76.62
-800,-600,760,75.79
-800,-600,810,76.91
-800,-600,860,76.4
-800,-600,910,71.98
-800,-600,960,76.98
-800,-500,10,60.0
-800,-500,60,83.33
-800,-500,110,63.64
-800,-500,160,72.5
-800,-500,210,72.86
-800,-500,260,72.31
-800,-500,310,70.97
-800,-500,360,70.0
-800,-500,410,72.44
-800,-500,460,70.65
-800,-500,510,70.59
-800,-500,560,68.39
-800,-500,610,68.03
-800,-500,660,70.15
-800,-500,710,70.14
-800,-500,760,73.42
-800,-500,810,69.88
-800,-500,860,71.16
-800,-500,910,71.65
-800,-500,960,70.31
-800,-400,10,70.0
-800,-400,60,76.67
-800,-400,110,80.91
-800,-400,160,72.5
-800,-400,210,72.38
-800,-400,260,67.69
-800,-400,310,70.97
-800,-400,360,73.61
-800,-400,410,67.8
-800,-400,460,71.52
-800,-400,510,70.39
-800,-400,560,70.0
-800,-400,610,72.62
-800,-400,660,70.76
-800,-400,710,71.27
-800,-400,760,71.45
-800,-400,810,71.36
-800,-400,860,70.81
-800,-400,910,71.87
-800,-400,960,69.48
-800,-300,10,70.0
-800,-300,60,63.33
-800,-300,110,71.82
-800,-300,160,71.25
-800,-300,210,70.48
-800,-300,260,78.85
-800,-300,310,70.32
-800,-300,360,75.0
-800,-300,410,71.71
-800,-300,460,74.13
-800,-300,510,74.51
-800,-300,560,74.82
-800,-300,610,75.57
